mol_weight,logP,hbd,hba,tpsa,qed,aromatic_rings,num_rotatable_bonds,num_heavy_atoms,num_rings,fraction_csp3,num_aliphatic_rings,num_saturated_rings,hallkier,labuteASA,balabanJ,chi0,chi1,kappa1,kappa2
333.36100000000016,0.34640000000000093,2,7,112.19000000000003,0.46754822029825605,0,13,23,0,0.7857142857142857,0,0,-1.87,135.52197010036036,3.8332827676426313,18.208896013370172,11.506437715248111,19.177326076668244,12.651996733744157
290.832,3.644400000000001,0,0,0.0,0.5976039421761683,0,0,12,1,1.0,1,1,1.74,101.37772780757338,2.7602520756252087,9.464101615137755,5.464101615137754,11.812780203784571,4.506208943212113
208.12199999999999,-6.070199999999996,4,8,161.18,0.34664376461797985,0,5,14,0,0.6666666666666666,0,0,-1.2200000000000002,77.6524083130762,4.4503778597717565,11.464101615137755,6.285468820183672,12.78,4.861820261080433
282.347,-3.158599999999998,4,2,122.34,0.26003241941523564,1,2,21,2,0.0,1,0,-2.919999999999999,122.95655027176541,2.273882302955249,16.11251969619286,10.507239053047545,13.081174584530405,6.02230345450539
342.4429999999999,-0.7564999999999975,4,2,121.68,0.257571879518029,2,10,25,2,0.2631578947368421,0,0,-3.0199999999999996,150.2467202427183,1.5938242735021233,19.484916895309063,13.134560252985372,15.504357997206412,9.31822503861814
62.004000000000005,-0.23910000000000006,0,3,66.2,0.2870458625647871,0,0,4,0,0.0,0,0,-0.8,21.775556887606736,2.8030394876740514,3.5773502691896257,1.7320508075688772,3.2,0.6545454545454547
30.006,-0.44710000000000005,0,1,39.370000000000005,0.355295894594361,0,0,2,0,0.0,0,0,-0.4,11.859069411068093,2.0,2.0,1.0,1.6000000000000005,0.5999999999999998
162.9022547,-1.5479,0,4,74.27,0.43282158610466026,0,0,5,0,0.0,0,0,0.00935064935064931,30.654735052116706,4.873452972143243,4.5,2.0,5.009350649350649,1.0054593972630474
97.96900000000001,-1.2154000000000003,0,3,63.19,0.35665794827219593,0,0,5,0,0.0,0,0,0.07999999999999996,27.713593017861093,3.4720664956001186,4.5,2.0,5.080000000000001,1.047018698060942
96.06299999999999,-1.3379999999999996,0,4,80.26,0.2759217158460571,0,0,5,0,0.0,0,0,-0.13000000000000006,29.006182551727598,4.062942298971397,4.5,2.0,4.87,0.9251210352643447
112.131,-1.0064999999999997,0,4,63.19,0.4026592537448676,0,0,5,0,0.0,0,0,0.2899999999999999,34.33269162369195,4.062942298971397,4.5,2.0,5.29,1.1736748466412732
78.96,-0.3808,0,0,0.0,0.34699185482498435,0,0,1,0,0.0,0,0,0.5194805194805194,17.964098032124472,0.0,0.0,0.0,1.5194805194805197,0.4444805194805197
384.24500000000006,0.36059999999999964,4,6,124.44000000000001,0.46304615262258836,2,9,28,2,0.3684210526315789,0,0,-2.7750649350649352,164.11611240521268,2.1619332305440584,20.518297090128673,13.363081100704115,21.524172160754688,10.531039362336648
361.034,1.2660999999999993,4,4,98.66000000000001,0.550014922325627,1,7,23,1,0.42857142857142855,0,0,-1.2750649350649346,144.86131257662234,2.576602377245382,17.568549621822843,10.701285058155639,19.770965121964508,9.126043062562799
167.20799999999997,1.4178000000000002,1,2,52.32,0.6002616319602778,0,1,12,1,0.6666666666666666,1,1,-1.17,72.26714020789582,2.6146255050426763,9.02709773749546,5.684269172402757,8.922336103416436,3.484918475925629
172.251,0.8704999999999995,1,0,16.61,0.6374764992891361,1,2,13,2,0.3333333333333333,1,0,-1.2599999999999998,79.1643122278147,2.147729216670361,9.096011838247808,6.41501490017253,8.343298921307444,3.635894622799467
475.46500000000026,-1.6877999999999973,3,11,212.95999999999998,0.2813060083578684,3,10,35,3,0.2608695652173913,0,0,-4.79,199.36501981346095,1.755996827211306,25.534804948073724,16.671942850993993,24.844621773962608,10.885936389489737
27.025999999999996,0.13978,0,1,23.79,0.3697970178104732,0,0,2,0,0.0,0,0,-0.51,13.131830709298267,3.0,2.0,1.0,1.49,0.49000000000000005
215.941,0.2985,0,7,148.38,0.4537053892149248,0,1,13,0,0.0,0,0,-2.430519480519481,71.73074955518979,6.846487913083969,10.650888977583149,5.974691494688162,10.56948051948052,2.0379702752456934
175.11599999999999,-2.6050999999999997,3,6,110.05000000000001,0.3966122214202092,0,2,12,1,0.5,1,0,-1.2700000000000002,67.32052975243379,2.796067066263468,9.300964908321225,5.5745860626699715,8.823196644920783,2.9969802601028404
121.16099999999997,-2.7233999999999994,2,3,67.77,0.38959751925017094,0,2,7,0,0.6666666666666666,0,0,-0.22000000000000003,46.91984846927698,3.3434170589539596,5.8618073195657985,3.1807392125526213,6.78,2.872924704797209
342.29699999999997,-5.395599999999993,8,11,189.52999999999997,0.23789143451934985,0,5,23,2,1.0,2,2,-0.43999999999999995,130.43645768522254,2.1281884089863876,17.361442840636293,10.784241369346551,18.89235232228663,7.207281294562587
1448.6860000000013,-19.39650000000002,16,51,772.1700000000005,0.025907026958186447,0,36,78,2,1.0,2,2,2.4597402597402582,474.6823705189325,3.4801292538655666,60.58684671195147,35.00051138171441,76.55734548120823,31.076500338220512
182.14700000000002,-2.2441999999999998,4,5,90.15,0.36778785152667176,0,1,12,1,1.0,1,1,-0.27,68.01414608750052,2.6344089870615974,9.300964908321225,5.574586062669973,9.815251491901108,3.6293890162987346
342.297,-5.395599999999993,8,11,189.52999999999997,0.2378914345193498,0,5,23,2,1.0,2,2,-0.43999999999999995,130.4364576852225,2.1772696581273263,17.361442840636293,10.806896738665586,18.89235232228663,7.207281294562587
